ID,Type,Year,Quarter,HFCE (in million pesos),GVA (in million pesos)
1032,Education,2023,Q4,230920,197688
1033,Education,2024,Q1,219970,223050
1034,Education,2024,Q2,187916,246599
1035,Education,2024,Q3,220808,201200
1036,Education,2024,Q4,244892,211202
1037,Education,2025,Q1,234653,237869
1038,Education,2025,Q2,206181,275624
1039,Education,2025,Q3,,
1040,Education,2025,Q4,,
1041,Restaurants and hotels,2000,Q1,100454,88010
1042,Restaurants and hotels,2000,Q2,98235,88010
1043,Restaurants and hotels,2000,Q3,104665,88010
1044,Restaurants and hotels,2000,Q4,112459,88010
1045,Restaurants and hotels,2001,Q1,105630,89145
1046,Restaurants and hotels,2001,Q2,101332,94706
1047,Restaurants and hotels,2001,Q3,108685,86469
1048,Restaurants and hotels,2001,Q4,116616,95587
1049,Restaurants and hotels,2002,Q1,111060,91689
1050,Restaurants and hotels,2002,Q2,106558,97367
1051,Restaurants and hotels,2002,Q3,116407,89680
1052,Restaurants and hotels,2002,Q4,126387,98521
1053,Restaurants and hotels,2003,Q1,114295,93035
1054,Restaurants and hotels,2003,Q2,105636,97915
1055,Restaurants and hotels,2003,Q3,118251,92709
1056,Restaurants and hotels,2003,Q4,134281,101905
1057,Restaurants and hotels,2004,Q1,122909,98238
1058,Restaurants and hotels,2004,Q2,115807,104987
1059,Restaurants and hotels,2004,Q3,129662,98764
1060,Restaurants and hotels,2004,Q4,145713,102974
1061,Restaurants and hotels,2005,Q1,129451,103561
1062,Restaurants and hotels,2005,Q2,118923,108073
1063,Restaurants and hotels,2005,Q3,129680,99365
1064,Restaurants and hotels,2005,Q4,149620,104195
1065,Restaurants and hotels,2006,Q1,135452,106893
1066,Restaurants and hotels,2006,Q2,124099,113052
1067,Restaurants and hotels,2006,Q3,132447,104132
1068,Restaurants and hotels,2006,Q4,159222,109051
1069,Restaurants and hotels,2007,Q1,151633,110747
1070,Restaurants and hotels,2007,Q2,137123,113898
1071,Restaurants and hotels,2007,Q3,150504,109104
1072,Restaurants and hotels,2007,Q4,166243,113284
1073,Restaurants and hotels,2008,Q1,157706,116295
1074,Restaurants and hotels,2008,Q2,139873,122233
1075,Restaurants and hotels,2008,Q3,151690,114443
1076,Restaurants and hotels,2008,Q4,172372,119391
1077,Restaurants and hotels,2009,Q1,164311,121836
1078,Restaurants and hotels,2009,Q2,147703,134980
1079,Restaurants and hotels,2009,Q3,156900,124649
1080,Restaurants and hotels,2009,Q4,175335,118040
1081,Restaurants and hotels,2010,Q1,170306,127202
1082,Restaurants and hotels,2010,Q2,153597,141846
1083,Restaurants and hotels,2010,Q3,166494,120435
1084,Restaurants and hotels,2010,Q4,189602,117517
1085,Restaurants and hotels,2011,Q1,177378,128932
1086,Restaurants and hotels,2011,Q2,165813,144947
1087,Restaurants and hotels,2011,Q3,181872,123036
1088,Restaurants and hotels,2011,Q4,206611,123436
1089,Restaurants and hotels,2012,Q1,195984,132059
1090,Restaurants and hotels,2012,Q2,176867,149305
1091,Restaurants and hotels,2012,Q3,193133,122069
1092,Restaurants and hotels,2012,Q4,219704,125091
1093,Restaurants and hotels,2013,Q1,211454,130618
1094,Restaurants and hotels,2013,Q2,189184,154779
1095,Restaurants and hotels,2013,Q3,203875,129562
1096,Restaurants and hotels,2013,Q4,232351,132333
1097,Restaurants and hotels,2014,Q1,225958,133101
1098,Restaurants and hotels,2014,Q2,207840,159908
1099,Restaurants and hotels,2014,Q3,221681,131335
1100,Restaurants and hotels,2014,Q4,235313,133051
1101,Restaurants and hotels,2015,Q1,246108,145787
1102,Restaurants and hotels,2015,Q2,224065,169230
1103,Restaurants and hotels,2015,Q3,247308,137781
1104,Restaurants and hotels,2015,Q4,263116,136804
1105,Restaurants and hotels,2016,Q1,269308,151630
1106,Restaurants and hotels,2016,Q2,243693,181355
1107,Restaurants and hotels,2016,Q3,261647,148338
1108,Restaurants and hotels,2016,Q4,284812,145789
1109,Restaurants and hotels,2017,Q1,289837,165036
1110,Restaurants and hotels,2017,Q2,270681,192050
1111,Restaurants and hotels,2017,Q3,287840,163398
1112,Restaurants and hotels,2017,Q4,319429,151353
1113,Restaurants and hotels,2018,Q1,316747,173982
1114,Restaurants and hotels,2018,Q2,287983,202749
1115,Restaurants and hotels,2018,Q3,304562,181589
1116,Restaurants and hotels,2018,Q4,343675,173287
1117,Restaurants and hotels,2019,Q1,336499,180592
1118,Restaurants and hotels,2019,Q2,302536,224097
1119,Restaurants and hotels,2019,Q3,325982,182963
1120,Restaurants and hotels,2019,Q4,371009,178437
1121,Restaurants and hotels,2020,Q1,288475,184015
1122,Restaurants and hotels,2020,Q2,103669,192942
1123,Restaurants and hotels,2020,Q3,155871,153300
1124,Restaurants and hotels,2020,Q4,210823,157353
1125,Restaurants and hotels,2021,Q1,235704,184300
1126,Restaurants and hotels,2021,Q2,126134,216890
1127,Restaurants and hotels,2021,Q3,175344,173902
1128,Restaurants and hotels,2021,Q4,256717,169067
1129,Restaurants and hotels,2022,Q1,283407,199045
1130,Restaurants and hotels,2022,Q2,168506,227947
1131,Restaurants and hotels,2022,Q3,244760,183821
1132,Restaurants and hotels,2022,Q4,320911,185341
1133,Restaurants and hotels,2023,Q1,351703,211854
1134,Restaurants and hotels,2023,Q2,207143,241975
1135,Restaurants and hotels,2023,Q3,282209,193200
1136,Restaurants and hotels,2023,Q4,370170,197688
1137,Restaurants and hotels,2024,Q1,393383,223050
1138,Restaurants and hotels,2024,Q2,230233,246599
1139,Restaurants and hotels,2024,Q3,310324,201200
1140,Restaurants and hotels,2024,Q4,390877,211202
1141,Restaurants and hotels,2025,Q1,417861,237869
1142,Restaurants and hotels,2025,Q2,247192,275624
1143,Restaurants and hotels,2025,Q3,,
1144,Restaurants and hotels,2025,Q4,,
1145,Miscellaneous goods and services,2000,Q1,136650,88010
1146,Miscellaneous goods and services,2000,Q2,150525,88010
1147,Miscellaneous goods and services,2000,Q3,134968,88010
1148,Miscellaneous goods and services,2000,Q4,172197,88010
1149,Miscellaneous goods and services,2001,Q1,144787,89145
1150,Miscellaneous goods and services,2001,Q2,129614,94706
1151,Miscellaneous goods and services,2001,Q3,142960,86469
1152,Miscellaneous goods and services,2001,Q4,198519,95587
1153,Miscellaneous goods and services,2002,Q1,155750,91689
1154,Miscellaneous goods and services,2002,Q2,157773,97367
1155,Miscellaneous goods and services,2002,Q3,175798,89680
1156,Miscellaneous goods and services,2002,Q4,196181,98521
1157,Miscellaneous goods and services,2003,Q1,184730,93035
1158,Miscellaneous goods and services,2003,Q2,160984,97915
1159,Miscellaneous goods and services,2003,Q3,178304,92709
1160,Miscellaneous goods and services,2003,Q4,206639,101905
1161,Miscellaneous goods and services,2004,Q1,200203,98238
1162,Miscellaneous goods and services,2004,Q2,142734,104987
1163,Miscellaneous goods and services,2004,Q3,183474,98764
1164,Miscellaneous goods and services,2004,Q4,225151,102974
1165,Miscellaneous goods and services,2005,Q1,195307,103561
1166,Miscellaneous goods and services,2005,Q2,156732,108073
1167,Miscellaneous goods and services,2005,Q3,184300,99365
1168,Miscellaneous goods and services,2005,Q4,221512,104195
1169,Miscellaneous goods and services,2006,Q1,202134,106893
1170,Miscellaneous goods and services,2006,Q2,180968,113052
1171,Miscellaneous goods and services,2006,Q3,202546,104132
1172,Miscellaneous goods and services,2006,Q4,217829,109051
1173,Miscellaneous goods and services,2007,Q1,194217,110747
1174,Miscellaneous goods and services,2007,Q2,183092,113898
1175,Miscellaneous goods and services,2007,Q3,204653,109104
1176,Miscellaneous goods and services,2007,Q4,241439,113284
1177,Miscellaneous goods and services,2008,Q1,205456,116295
1178,Miscellaneous goods and services,2008,Q2,184856,122233
1179,Miscellaneous goods and services,2008,Q3,218681,114443
1180,Miscellaneous goods and services,2008,Q4,248756,119391
1181,Miscellaneous goods and services,2009,Q1,209399,121836
1182,Miscellaneous goods and services,2009,Q2,202743,134980
1183,Miscellaneous goods and services,2009,Q3,209741,124649
1184,Miscellaneous goods and services,2009,Q4,261463,118040
1185,Miscellaneous goods and services,2010,Q1,227993,127202
1186,Miscellaneous goods and services,2010,Q2,207884,141846
1187,Miscellaneous goods and services,2010,Q3,216096,120435
1188,Miscellaneous goods and services,2010,Q4,271178,117517
1189,Miscellaneous goods and services,2011,Q1,239618,128932
1190,Miscellaneous goods and services,2011,Q2,223851,144947
1191,Miscellaneous goods and services,2011,Q3,242344,123036
1192,Miscellaneous goods and services,2011,Q4,303287,123436
1193,Miscellaneous goods and services,2012,Q1,257544,132059
1194,Miscellaneous goods and services,2012,Q2,252567,149305
1195,Miscellaneous goods and services,2012,Q3,255718,122069
1196,Miscellaneous goods and services,2012,Q4,345417,125091
1197,Miscellaneous goods and services,2013,Q1,278583,130618
1198,Miscellaneous goods and services,2013,Q2,273124,154779
1199,Miscellaneous goods and services,2013,Q3,273383,129562
1200,Miscellaneous goods and services,2013,Q4,365385,132333
1201,Miscellaneous goods and services,2014,Q1,295930,133101
1202,Miscellaneous goods and services,2014,Q2,286911,159908
1203,Miscellaneous goods and services,2014,Q3,281941,131335
1204,Miscellaneous goods and services,2014,Q4,380781,133051
1205,Miscellaneous goods and services,2015,Q1,303121,145787
1206,Miscellaneous goods and services,2015,Q2,303224,169230
1207,Miscellaneous goods and services,2015,Q3,311111,137781
1208,Miscellaneous goods and services,2015,Q4,416214,136804
1209,Miscellaneous goods and services,2016,Q1,327544,151630
1210,Miscellaneous goods and services,2016,Q2,325859,181355
1211,Miscellaneous goods and services,2016,Q3,336475,148338
1212,Miscellaneous goods and services,2016,Q4,451524,145789
1213,Miscellaneous goods and services,2017,Q1,353024,165036
1214,Miscellaneous goods and services,2017,Q2,349562,192050
1215,Miscellaneous goods and services,2017,Q3,358651,163398
1216,Miscellaneous goods and services,2017,Q4,484456,151353
1217,Miscellaneous goods and services,2018,Q1,379255,173982
1218,Miscellaneous goods and services,2018,Q2,384155,202749
1219,Miscellaneous goods and services,2018,Q3,396160,181589
1220,Miscellaneous goods and services,2018,Q4,522454,173287
1221,Miscellaneous goods and services,2019,Q1,408072,180592
1222,Miscellaneous goods and services,2019,Q2,411337,224097
1223,Miscellaneous goods and services,2019,Q3,434543,182963
1224,Miscellaneous goods and services,2019,Q4,569614,178437
1225,Miscellaneous goods and services,2020,Q1,439752,184015
1226,Miscellaneous goods and services,2020,Q2,405446,192942
1227,Miscellaneous goods and services,2020,Q3,442065,153300
1228,Miscellaneous goods and services,2020,Q4,560665,157353
1229,Miscellaneous goods and services,2021,Q1,438900,184300
1230,Miscellaneous goods and services,2021,Q2,419233,216890
1231,Miscellaneous goods and services,2021,Q3,470840,173902
1232,Miscellaneous goods and services,2021,Q4,598947,169067
1233,Miscellaneous goods and services,2022,Q1,475267,199045
1234,Miscellaneous goods and services,2022,Q2,448084,227947
1235,Miscellaneous goods and services,2022,Q3,508792,183821
1236,Miscellaneous goods and services,2022,Q4,638995,185341
1237,Miscellaneous goods and services,2023,Q1,517071,211854
1238,Miscellaneous goods and services,2023,Q2,472035,241975
1239,Miscellaneous goods and services,2023,Q3,551053,193200
1240,Miscellaneous goods and services,2023,Q4,705407,197688
1241,Miscellaneous goods and services,2024,Q1,545156,223050
1242,Miscellaneous goods and services,2024,Q2,508423,246599
1243,Miscellaneous goods and services,2024,Q3,590374,201200
1244,Miscellaneous goods and services,2024,Q4,758934,211202
1245,Miscellaneous goods and services,2025,Q1,568743,237869
1246,Miscellaneous goods and services,2025,Q2,530414,275624
1247,Miscellaneous goods and services,2025,Q3,,
1248,Miscellaneous goods and services,2025,Q4,,
